"","id","sexo","fechnac","educ","catlab","salario_actual","salario_inicial","antiguedad","experiencia","minoría","directivo"
"435",435,1,1964-05-24,15,1,40350,16500,66,80,0,0
"436",436,1,1965-05-27,12,1,30270,15750,66,80,0,0
"437",437,1,1933-09-04,8,1,26250,16050,66,264,0,0
"438",438,1,1964-10-11,15,1,32400,15000,66,64,0,0
"439",439,0,1970-06-25,12,1,20400,11250,66,0,0,0
"440",440,0,1947-11-10,8,1,24150,12750,66,96,0,0
"441",441,0,1949-08-02,15,1,23850,13500,66,122,0,0
"442",442,0,1968-09-18,12,1,29700,13500,66,26,0,0
"443",443,0,1929-02-10,8,1,21600,13500,66,228,0,0
"444",444,0,1961-09-16,12,1,24450,15750,66,87,0,0
"445",445,1,1963-08-04,15,1,28050,16500,66,84,1,0
"446",446,1,1958-08-03,16,3,1e+05,44100,66,128,1,1
"447",447,1,1961-07-02,15,1,49000,20550,66,86,1,0
"448",448,0,1933-06-05,12,1,16350,10200,66,163,1,0
"449",449,1,1966-01-02,16,3,70000,21750,65,19,0,1
"450",450,1,1954-07-21,19,3,55000,34980,65,129,0,1
"451",451,1,1969-07-19,15,1,28500,14250,65,20,0,0
"452",452,1,1953-08-13,12,1,28800,18000,65,210,0,0
"453",453,1,1930-08-07,15,1,24450,15750,65,338,0,0
"454",454,1,1965-07-28,19,3,90625,31250,65,18,0,1
"455",455,1,1964-01-17,16,3,43650,19500,65,19,0,1
"456",456,1,1959-10-17,19,3,75000,42510,65,54,0,1
"457",457,1,1968-05-27,15,1,31650,14250,65,10,0,0
"458",458,1,1965-07-06,19,3,61875,28740,65,26,0,1
"459",459,0,1971-02-10,12,1,21750,11250,65,0,0,0
"460",460,0,1969-08-12,12,1,22500,12750,65,24,0,0
"461",461,0,1943-11-08,8,1,21600,13500,65,173,0,0
"462",462,0,1963-10-18,16,3,34410,19500,65,79,0,1
"463",463,0,1934-10-15,15,1,20700,14250,65,241,0,0
"464",464,1,1962-03-20,19,3,47550,33000,64,27,0,1
"465",465,1,1962-07-20,12,1,33900,16500,64,106,0,0
"466",466,0,1948-06-15,12,1,23400,13500,64,198,0,0
"467",467,0,1967-08-18,16,1,32850,19500,64,20,0,0
"468",468,0,1965-11-28,16,3,55750,19980,64,36,0,1
"469",469,0,1964-06-01,15,1,25200,13950,64,57,0,0
"470",470,1,1964-01-22,12,1,26250,15750,64,69,1,0
"471",471,1,1966-08-03,15,1,26400,15750,64,32,1,0
"472",472,1,1966-02-21,15,1,39150,15750,63,46,0,0
"473",473,0,1937-11-25,12,1,21450,12750,63,139,0,0
"474",474,0,1968-11-05,12,1,29400,14250,63,9,0,0
